"","BTC","ETH","BNB","SOL","XRP","TRX","ADA","AVAX","BCH","DOT"
"329",51779.14453125,2943.57470703125,351.807098388672,111.485328674316,0.56259697675705,0.136368006467819,0.631062984466553,39.482234954834,273.103454589844,8.02915477752686
"330",52284.875,3013.50366210938,354.863922119141,108.45964050293,0.56292200088501,0.139274999499321,0.622165024280548,38.5274047851562,265.465179443359,7.73320579528809
"331",51839.1796875,2970.35546875,378.537322998047,105.125221252441,0.549004018306732,0.139732003211975,0.598457992076874,37.6354370117188,263.125091552734,7.46830320358276
"332",51304.97265625,2971.00732421875,382.009765625,101.669792175293,0.540913999080658,0.1389299929142,0.585901975631714,36.7507247924805,260.168762207031,7.48289108276367
"333",50731.94921875,2921.658203125,375.319091796875,99.9546966552734,0.534533977508545,0.138189002871513,0.583241999149323,35.9263191223145,264.544860839844,7.56341600418091
"334",51571.1015625,2992.38598632812,381.742797851562,104.133522033691,0.545117974281311,0.137447997927666,0.596696019172668,36.7380447387695,267.662139892578,7.80939817428589
"335",51733.23828125,3112.697265625,388.551727294922,103.453491210938,0.542424976825714,0.137618005275726,0.59137898683548,37.4499702453613,267.825592041016,7.92306184768677
"336",54522.40234375,3178.99365234375,401.643890380859,109.918533325195,0.551405012607574,0.139919996261597,0.619736015796661,39.3361892700195,274.898132324219,8.10434341430664
"337",57085.37109375,3244.51928710938,394.995635986328,108.388084411621,0.586257994174957,0.142884999513626,0.624216020107269,39.2686462402344,292.519378662109,8.37149524688721
"338",62504.7890625,3385.70385742188,415.771606445312,118.052200317383,0.57581102848053,0.142233997583389,0.631058990955353,40.2947883605957,296.793792724609,8.34261894226074
"339",61198.3828125,3341.91967773438,399.778717041016,125.711517333984,0.586324989795685,0.140578001737595,0.655646026134491,40.9353866577148,298.562377929688,8.25502490997314
"340",62440.6328125,3435.05395507812,407.810760498047,129.99040222168,0.601890027523041,0.141598999500275,0.719080984592438,42.8553276062012,316.125030517578,8.67422962188721
"341",62029.84765625,3422.0498046875,410.985870361328,129.700180053711,0.64485102891922,0.141280993819237,0.740927994251251,44.3339080810547,500.806060791016,9.43610095977783
"342",63167.37109375,3490.99365234375,414.381072998047,130.450866699219,0.627071976661682,0.140689000487328,0.728237986564636,42.6048583984375,469.36279296875,9.79743957519531
"343",68330.4140625,3630.43383789062,419.035430908203,133.194580078125,0.650133013725281,0.140417993068695,0.771293997764587,43.0882377624512,470.423156738281,9.91117095947266
"344",63801.19921875,3554.96459960938,394.661743164062,125.70671081543,0.592900991439819,0.136081993579865,0.693490028381348,39.5001373291016,401.490844726562,9.33038806915283
"345",66106.8046875,3819.22631835938,429.011962890625,130.74201965332,0.61225301027298,0.137762993574142,0.733820974826813,41.5143356323242,415.128448486328,10.5142269134521
"346",66925.484375,3874.34765625,475.290649414062,143.97785949707,0.628624022006989,0.137321993708611,0.744741976261139,43.2900047302246,432.400634765625,10.4220657348633
